S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
93,0.8,0.8,0.8,0.573884908755433,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,34.5381138324738
94,0.8,0.8,1,0.559543702102535,10097379.5186667,72514238196.4573,11409718934.2676,33523156.1215034,51945.2470744914,11268.4233761615,49598.7981696571,10486.0976493904,41793.1287626792,40481.2963646987,20231.5685557024,26972678.3148458,44264.8403947079,37.6850726604462
95,0.8,1,0.2,0.618477325977144,11038433.892233,80316452452.1226,12524975761.8904,38928520.3601131,55034.1240075762,13554.8085577468,88050.4785987593,17516.4160458103,39527.9502741183,36698.5019476686,22009.1124334152,27204510.7702112,24154.3157263132,37.8750057220459
96,0.8,1,0.4,0.604569105016405,10797989.2662913,79023730164.7829,12198974695.828,38482855.367295,60843.130894969,14356.3593198653,50733.1134964564,12054.1368082866,40938.276535478,45337.0779984794,17477.6182206203,26246952.0038116,13999.878894579,39.6915745735168
97,0.8,1,0.6,0.589758597727207,10579994.2873089,77772953076.5188,11930498816.1668,39028070.2639121,42698.8480656328,10173.8995383018,56182.717814895,10499.9037256197,31412.5745301803,53238.9210728638,22187.3978746344,24407846.2885905,6077.71487201801,31.126091003418
98,0.8,1,0.8,0.574741069240883,10309842.1559175,76351741817.0672,11662058273.7999,39383203.4139444,40854.7981845828,19045.961858902,50248.3153527789,11371.2132275775,31812.768113294,61401.042675508,19500.0623445855,22370847.9349363,64354.1818448687,38.8043160438538
99,0.8,1,1,0.557556640098573,10080531.2670574,74602910232.5462,11472866125.8826,37169869.3821605,57620.4003625835,16874.8725729786,52489.2990509468,13303.2210359424,43310.4976989927,42307.2007242155,30062.4249406347,23137393.7250895,112152.455745529,37.3966917991638
100,1,0.2,0.2,0.61635415917149,11181684.4641797,72905887336.117,12603931594.9454,34551604.1351609,27138.0102424783,11120.6372640944,42859.0323144281,14545.1910225928,41754.7527241631,65595.1034613207,25363.8628115334,30814393.8509912,1698429.3834754,36.2875430583954
101,1,0.2,0.4,0.598751811292628,10952538.3192175,70349500528.2564,12405548652.247,32098579.2054912,54351.8036840192,22215.1443003935,47414.3044705712,15602.7812606279,30068.4136815952,38321.283250126,30906.4332683234,32726882.321816,863480.982236369,41.0614628791809
102,1,0.2,0.6,0.582924384864638,10766431.3954999,69933947727.1423,12151469806.1855,31951974.0421841,52235.7031297607,15468.2290804793,49134.1786650677,17757.0862034491,16057.4973306246,53454.3097178756,22008.4097077785,30605837.1292394,2020501.08424465,33.0485723018646
103,1,0.2,0.8,0.566707974971917,10531050.6661754,67540611211.7301,11916715639.1164,32842491.4156678,46246.7132156009,14754.401414154,52525.1758227917,6046.57123598075,43921.0845315467,53484.1754780444,26549.9673587417,28471625.4187696,1818024.30273869,33.7546122074127
104,1,0.2,1,0.549673510327631,10286767.6179372,67987580797.8632,11691451289.7341,31935858.9694672,51326.8552958253,16228.0849803864,56183.516631565,13733.5860203027,29431.5998270294,63697.1721830447,28806.7492218208,29305160.8586937,417281.734726349,30.5851941108704
105,1,0.4,0.2,0.615003149270788,11154947.7565522,74431145924.2869,12610888281.7807,34238668.6145537,40181.9064854784,12046.6194594924,51127.8964853857,23694.8959402496,44110.6572665359,44303.8913448386,23308.1191097235,32296882.1859538,363737.110183011,30.9548835754395
